"BTC_Archive,@crypopoly ??,Fri Apr 08 19:08:44 +0000 2022		";0
"BTC_Archive,""@Crypto_Ayda Is this the before or after pic? 		";0
"?? ????"",Fri Apr 08 19:07:56 +0000 2022		";0
"BTC_Archive,RT @BTC_Archive: ??BREAKING: Tesla Block and Blockstream team up to mine #Bitcoin with solar power in Texas.,Fri Apr 08 18:46:57 +0000 2022		";0
"BTC_Archive,The #Bitcoin purists may be correct - Dr Jordan Peterson,Fri Apr 08 18:27:04 +0000 2022		";0
"BTC_Archive,@LittleBrightBo1 Sorry for promoting MY YouTube channel on MY twitter. ?? ???????,Fri Apr 08 18:15:01 +0000 2022		";0
"BTC_Archive,""RT @BTC_Archive: #Bitcoin increased tourism by 30% in El Salvador.		";0
"- Tourism Minister"",Fri Apr 08 17:40:48 +0000 2022		";0
"BTC_Archive,""RT @BTC_Archive: #Bitcoin could exceed $1 million by 2030.		";0
"- Cathie Wood"",Fri Apr 08 17:24:30 +0000 2022		";0
"BTC_Archive,""RT @BTC_Archive: #Bitcoin is not just about Number Go Up.		";0
"Bitcoin is also about Freedom Go Up.		";0
"- Alex @Gladstein"",Fri Apr 08 17:24:26 +0000 2022		";0
"BTC_Archive,""RT @BTC_Archive: #Bitcoin became a medium of exchange across the USA yesterday.		";0
"#Bitcoin ?? Strike ?? Lightning		";0
"In hundreds of major retail…"",Fri Apr 08 16:46:52 +0000 2022		";0
"BTC_Archive,""RT @BTC_Archive: #Bitcoin will never be controlled by government.		";0
"- Peter Thiel"",Fri Apr 08 16:46:43 +0000 2022		";0
"BTC_Archive,@natbrunell they’re gonna have remake this one… ?? https://t.co/kfDgQqT6Ou,Fri Apr 08 16:12:50 +0000 2022		";0
"BTC_Archive,""??Follow me on YouTube??		";0
"https://t.co/tP9brDEZDY"",Fri Apr 08 15:50:02 +0000 2022		";0
"BTC_Archive,@100trillionUSD ??,Fri Apr 08 15:40:28 +0000 2022		";0
"BTC_Archive,??BREAKING: Tesla Block and Blockstream team up to mine #Bitcoin with solar power in Texas.,Fri Apr 08 15:33:36 +0000 2022		";0
"		";0
"BTC_Archive,""RT @BTC_Archive: ??BREAKING:  Strike has partnered with NCR - one of the world’s biggest payment processors and ATM operators. 		";0
"		";0
"#Bitcoin Li…"",Fri Apr 08 10:59:59 +0000 2022		";0
"		";0
"BTC_Archive,""RT @BTC_Archive: “YoU cAnT bUy AnYThiNg w BiToIn!”		";0
"		";0
"Jack Mallers: hold my ?? ??"",Fri Apr 08 10:59:52 +0000 2022		";0
"		";0
"BTC_Archive,??Major US retailers now accepting #Bitcoin ?? https://t.co/y2vJtgtCFE,Fri Apr 08 10:14:31 +0000 2022		";0
"		";0
"BTC_Archive,""#Bitcoin increased tourism by 30% in El Salvador.		";0
"- Tourism Minister"",Fri Apr 08 10:12:01 +0000 2022		";0
"		";0
"BTC_Archive,""#Bitcoin could exceed $1 million by 2030.		";0
"- Cathie Wood"",Fri Apr 08 09:58:33 +0000 2022		";0
"		";0
"BTC_Archive,""@Crypto_Ayda """"now"""" :)"",Fri Apr 08 09:26:59 +0000 2022		";0
"		";0
"Kriptoemre,@AtakanSevgi_ @KerITheLiberal Y****k gibi yasiyoruz demeyelim dee doner yiyelim.,Fri Apr 08 18:17:42 +0000 2022		";0
"		";0
"Kriptoemre,@tayfun42790477 Simdi al,Fri Apr 08 18:13:57 +0000 2022		";0
"		";0
"Kriptoemre,""#Bitcoin in $43,500 lerden yönünü yukarý çevirmesini bekliyorum bugün.		";0
"		";0
